date,category,amount
2024-08-04,Utilities,80.00
2024-08-05,Subscriptions,12.50
2024-08-06,Restaurants,58.00
2024-08-07,Shopping,115.00
2024-08-08,Groceries,52.00
2024-08-09,Transport,17.00
2024-08-10,Entertainment,28.00
2024-08-11,Utilities,72.00
2024-08-12,Subscriptions,11.99
2024-08-13,Restaurants,63.00
2024-08-14,Shopping,105.00
2024-08-15,Groceries,49.00
2024-08-16,Transport,15.50
2024-08-17,Entertainment,33.00
2024-08-18,Utilities,78.00
2024-08-19,Subscriptions,13.50
2024-08-20,Restaurants,59.00
2024-08-21,Shopping,98.00
2024-08-22,Groceries,54.00
2024-08-23,Transport,16.00
2024-08-24,Entertainment,36.00
2024-08-25,Utilities,74.00
2024-08-26,Subscriptions,12.99
2024-08-27,Restaurants,57.00
2024-08-28,Shopping,112.00
2024-08-29,Groceries,61.00
2024-08-30,Transport,18.00
2024-08-31,Entertainment,20.00
2024-09-01,Groceries,50.00
2024-09-02,Transport,14.50
2024-09-03,Entertainment,25.00
2024-09-04,Utilities,80.00
2024-09-05,Subscriptions,12.99
2024-09-06,Restaurants,55.00
2024-09-07,Shopping,110.00
2024-09-08,Groceries,48.00
2024-09-09,Transport,16.00
2024-09-10,Entertainment,30.00
2024-09-11,Utilities,75.00
2024-09-12,Subscriptions,13.50
2024-09-13,Restaurants,62.00
2024-09-14,Shopping,95.50
2024-09-15,Groceries,60.00
2024-09-16,Transport,18.00
2024-09-17,Entertainment,35.00
2024-09-18,Utilities,70.00
2024-09-19,Subscriptions,11.99
2024-09-20,Restaurants,65.00
2024-09-21,Shopping,90.00
2024-09-22,Groceries,50.00
2024-09-23,Transport,14.00
2024-09-24,Entertainment,40.00
2024-09-25,Utilities,75.00
2024-09-26,Subscriptions,13.99
2024-09-27,Restaurants,55.00
2024-09-28,Shopping,110.00
2024-09-29,Groceries,60.00
2024-09-30,Transport,16.00
2024-10-01,Groceries,45.30
2024-10-02,Transport,12.50
2024-10-03,Entertainment,25.00
2024-10-04,Utilities,78.00
2024-10-05,Subscriptions,10.99
2024-10-06,Restaurants,50.25
2024-10-07,Shopping,100.00
2024-10-08,Groceries,40.75
2024-10-09,Transport,15.00
2024-10-10,Entertainment,30.00
2024-10-11,Utilities,85.00
2024-10-12,Subscriptions,12.99
2024-10-13,Restaurants,60.00
2024-10-14,Shopping,120.50
2024-10-15,Groceries,55.20
2024-10-16,Transport,18.00
2024-10-17,Entertainment,35.00
2024-10-18,Utilities,70.00
2024-10-19,Subscriptions,11.99
2024-10-20,Restaurants,65.00
2024-10-21,Shopping,90.00
2024-10-22,Groceries,50.00
2024-10-23,Transport,14.00
2024-10-24,Entertainment,40.00
2024-10-25,Utilities,75.00
2024-10-26,Subscriptions,13.99
2024-10-27,Restaurants,55.00
2024-10-28,Shopping,110.00
2024-10-29,Groceries,60.00
2024-10-30,Transport,16.00
2024-10-31,Entertainment,20.00
2024-11-01,Groceries,48.50
2024-11-02,Transport,14.00
2024-11-03,Entertainment,22.00
2024-11-04,Utilities,80.00
2024-11-05,Subscriptions,12.50
2024-11-06,Restaurants,58.00
2024-11-07,Shopping,115.00
2024-11-08,Groceries,52.00
2024-11-09,Transport,17.00
2024-11-10,Entertainment,28.00
2024-11-11,Utilities,72.00
2024-11-12,Subscriptions,11.99
2024-11-13,Restaurants,63.00
2024-11-14,Shopping,105.00
2024-11-15,Groceries,49.00
2024-11-16,Transport,15.50
2024-11-17,Entertainment,33.00
2024-11-18,Utilities,78.00
2024-11-19,Subscriptions,13.50
2024-11-20,Restaurants,59.00
2024-11-21,Shopping,98.00
2024-11-22,Groceries,54.00
2024-11-23,Transport,16.00
2024-11-24,Entertainment,36.00
2024-11-25,Utilities,74.00
2024-11-26,Subscriptions,12.99
2024-11-27,Restaurants,57.00
2024-11-28,Shopping,112.00
2024-11-29,Groceries,61.00
2024-11-30,Transport,18.00
2024-12-01,Groceries,50.75
2024-12-02,Transport,15.00
2024-12-03,Entertainment,20.00
2024-12-04,Utilities,80.00
2024-12-05,Subscriptions,12.99
2024-12-06,Restaurants,55.25
2024-12-07,Shopping,120.00
2024-12-08,Groceries,48.20
2024-12-09,Transport,16.00
2024-12-10,Entertainment,30.00
2024-12-11,Utilities,75.00
2024-12-12,Subscriptions,13.50
2024-12-13,Restaurants,62.00
2024-12-14,Shopping,95.50
2024-12-15,Groceries,60.00
2024-12-16,Transport,18.00
2024-12-17,Entertainment,35.00
2024-12-18,Utilities,70.00
2024-12-19,Subscriptions,11.99
2024-12-20,Restaurants,65.00
2024-12-21,Shopping,90.00
2024-12-22,Groceries,50.00
2024-12-23,Transport,14.00
2024-12-24,Entertainment,40.00
2024-12-25,Utilities,75.00
2024-12-26,Subscriptions,13.99
2024-12-27,Restaurants,55.00
2024-12-28,Shopping,110.00
2024-12-29,Groceries,60.00
2024-12-30,Transport,16.00
2024-12-31,Entertainment,20.00
2025-01-01,Groceries,50.75
2025-01-02,Transport,15.00
2025-01-03,Entertainment,20.00
2025-01-04,Utilities,80.00
2025-01-05,Subscriptions,12.99
2025-01-06,Restaurants,55.25
2025-01-07,Shopping,120.00
2025-01-08,Groceries,48.20
2025-01-09,Transport,16.00
2025-01-10,Entertainment,30.00
2025-01-11,Utilities,75.00
2025-01-12,Subscriptions,13.50
2025-01-13,Restaurants,62.00
2025-01-14,Shopping,95.50
2025-01-15,Groceries,60.00
2025-01-16,Transport,18.00
2025-01-17,Entertainment,35.00
2025-01-18,Utilities,70.00
2025-01-19,Subscriptions,11.99
2025-01-20,Restaurants,65.00
2025-01-21,Shopping,90.00
2025-01-22,Groceries,50.00
2025-01-23,Transport,14.00
2025-01-24,Entertainment,40.00
2025-01-25,Utilities,75.00
2025-01-26,Subscriptions,13.99
2025-01-27,Restaurants,55.00
2025-01-28,Shopping,110.00
2025-01-29,Groceries,60.00
2025-01-30,Transport,16.00
2025-01-31,Entertainment,20.00
2025-02-01,Groceries,50.75
2025-02-02,Transport,15.00
2025-02-03,Entertainment,20.00
2025-02-04,Utilities,80.00
2025-02-05,Subscriptions,12.99
2025-02-06,Restaurants,55.25
2025-02-07,Shopping,120.00
2025-02-08,Groceries,48.20
2025-02-09,Transport,16.00
2025-02-10,Entertainment,30.00
2025-02-11,Utilities,75.00
2025-02-12,Subscriptions,13.50
2025-02-13,Restaurants,62.00
2025-02-14,Shopping,95.50
2025-02-15,Groceries,60.00
2025-02-16,Transport,18.00
2025-02-17,Entertainment,35.00
2025-02-18,Utilities,70.00
2025-02-19,Subscriptions,11.99
2025-02-20,Restaurants,65.00
2025-02-21,Shopping,90.00
2025-02-22,Groceries,50.00
2025-02-23,Transport,14.00
2025-02-24,Entertainment,40.00
2025-02-25,Utilities,75.00
2025-02-26,Subscriptions,13.99
2025-02-27,Restaurants,55.00
2025-02-28,Shopping,110.00
2025-02-29,Groceries,60.00
2025-03-01,Groceries,50.75
2025-03-02,Transport,15.00
2025-03-03,Entertainment,20.00
2025-03-04,Utilities,80.00
2025-03-05,Subscriptions,12.99
2025-03-06,Restaurants,55.25
2025-03-07,Shopping,120.00
2025-03-08,Groceries,48.20
2025-03-09,Transport,16.00
2025-03-10,Entertainment,30.00
2025-03-11,Utilities,75.00
2025-03-12,Subscriptions,13.50
2025-03-13,Restaurants,62.00
2025-03-14,Shopping,95.50
2025-03-15,Groceries,60.00
2025-03-16,Transport,18.00
2025-03-17,Entertainment,35.00
2025-03-18,Utilities,70.00
2025-03-19,Subscriptions,11.99
2025-03-20,Restaurants,65.00
2025-03-21,Shopping,90.00
2025-03-22,Groceries,50.00
2025-03-23,Transport,14.00
2025-03-24,Entertainment,40.00
2025-03-25,Utilities,75.00
2025-03-26,Subscriptions,13.99
2025-03-27,Restaurants,55.00
2025-03-28,Shopping,110.00
2025-03-29,Groceries,60.00
2025-03-30,Transport,16.00
2025-03-31,Entertainment,20.00  5
